rank,song,artist,year
1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2022
2,Heat Waves,Glass Animals,2022
3,abcdefu,GAYLE,2022
4,Easy On Me,Adele,2022
5,Super Gremlin,Kodak Black,2022
6,Stay,The Kid LAROI & Justin Bieber,2022
7,Ghost,Justin Bieber,2022
8,Shivers,Ed Sheeran,2022
9,Bad Habits,Ed Sheeran,2022
10,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2022
11,Thats What I Want,Lil Nas X,2022
12,Need To Know,Doja Cat,2022
13,Surface Pressure,Jessica Darrow,2022
14,Pushin P,Gunna & Future Featuring Young Thug,2022
15,Industry Baby,Lil Nas X & Jack Harlow,2022
16,Levitating,Dua Lipa,2022
17,MAMIII,Becky G X Karol G,2022
18,Nail Tech,Jack Harlow,2022
19,Save Your Tears,The Weeknd & Ariana Grande,2022
20,Enemy,Imagine Dragons X JID,2022
21,Big Energy,Latto,2022
22,One Right Now,Post Malone & The Weeknd,2022
23,Hrs And Hrs,Muni Long,2022
24,Woman,Doja Cat,2022
25,'Til You Can't,Cody Johnson,2022
26,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",2022
27,Good 4 U,Olivia Rodrigo,2022
28,I Hate U,SZA,2022
29,Light Switch,Charlie Puth,2022
30,Sand In My Boots,Morgan Wallen,2022
31,Buy Dirt,Jordan Davis Featuring Luke Bryan,2022
32,Knife Talk,Drake Featuring 21 Savage & Project Pat,2022
33,You Right,Doja Cat & The Weeknd,2022
34,Love Nwantiti (Ah Ah Ah),CKay,2022
35,Fancy Like,Walker Hayes,2022
36,One Mississippi,Kane Brown,2022
37,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,2022
38,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,2022
39,Fingers Crossed,Lauren Spencer-Smith,2022
40,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),2022
41,Essence,Wizkid Featuring Justin Bieber & Tems,2022
42,Ahhh Ha,Lil Durk,2022
43,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,2022
44,Do We Have A Problem?,Nicki Minaj X Lil Baby,2022
45,Oh My God,Adele,2022
46,Dos Oruguitas,Sebastian Yatra,2022
47,You Should Probably Leave,Chris Stapleton,2022
48,Sacrifice,The Weeknd,2022
49,Doin' This,Luke Combs,2022
50,Better Days,NEIKED X Mae Muller X Polo G,2022
51,To Be Loved By You,Parker McCollum,2022
52,Beers On Me,"Dierks Bentley, Breland & HARDY",2022
53,AA,Walker Hayes,2022
54,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",2022
55,Never Say Never,Cole Swindell / Lainey Wilson,2022
56,23,Sam Hunt,2022
57,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,2022
58,Heart On Fire,Eric Church,2022
59,Broadway Girls,Lil Durk Featuring Morgan Wallen,2022
60,Waiting On A Miracle,Stephanie Beatriz,2022
61,Banking On Me,Gunna,2022
62,She's All I Wanna Be,Tate McRae,2022
63,Me Or Sum,"Nardo Wick, Lil Baby & Future",2022
64,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,2022
65,Boyfriend,Dove Cameron,2022
66,Rumors,Gucci Mane Featuring Lil Durk,2022
67,Pressure,Ari Lennox,2022
68,Numb Little Bug,Em Beihold,2022
69,High,The Chainsmokers,2022
70,Peru,Fireboy DML & Ed Sheeran,2022
71,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",2022
72,Bussin,Nicki Minaj X Lil Baby,2022
73,Worst Day,Future,2022
74,Beautiful Lies,Yung Bleu & Kehlani,2022
75,P Power,Gunna Featuring Drake,2022
76,Circles Around This Town,Maren Morris,2022
77,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",2022
78,Cigarettes,Juice WRLD,2022
79,If I Was A Cowboy,Miranda Lambert,2022
80,I Love You So,The Walters,2022
81,Scorpio,Moneybagg Yo,2022
82,Do It To It,Acraze Featuring Cherish,2022
83,By Your Side,Rod Wave,2022
84,Freedom Was A Highway,Jimmie Allen & Brad Paisley,2022
85,The Motto,Tiesto & Ava Max,2022
86,Don't Play That,King Von & 21 Savage,2022
87,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,2022
88,Flower Shops,ERNEST Featuring Morgan Wallen,2022
89,Good Morning Gorgeous,Mary J. Blige,2022
90,When I'm Gone,Alesso / Katy Perry,2022
91,Poppin,Yeat,2022
92,Come Back As A Country Boy,Blake Shelton,2022
93,Iffy,Chris Brown,2022
94,Home Sweet,Russell Dickerson,2022
95,Pray,Jessie Murph,2022
96,Closer,Saweetie Featuring H.E.R.,2022
97,Cold December,Rod Wave,2022
98,Get Into It (Yuh),Doja Cat,2022
99,All Too Well (Taylor's Version),Taylor Swift,2022
100,Give Heaven Some Hell,HARDY,2022
rank,song,artist,year
1,Drivers License,Olivia Rodrigo,2021
2,Up,Cardi B,2021
3,Go Crazy,Chris Brown & Young Thug,2021
4,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021
5,Blinding Lights,The Weeknd,2021
6,Save Your Tears,The Weeknd & Ariana Grande,2021
7,Mood,24kGoldn Featuring iann dior,2021
8,Calling My Phone,Lil Tjay Featuring 6LACK,2021
9,Positions,Ariana Grande,2021
10,Levitating,Dua Lipa,2021
11,What You Know Bout Love,Pop Smoke,2021
12,Therefore I Am,Billie Eilish,2021
13,Back In Blood,Pooh Shiesty Featuring Lil Durk,2021
14,Whoopty,CJ,2021
15,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021
16,Dakiti,Bad Bunny & Jhay Cortez,2021
17,Good Days,SZA,2021
18,I Hope,Gabby Barrett Featuring Charlie Puth,2021
19,You're Mines Still,Yung Bleu Featuring Drake,2021
20,Better Together,Luke Combs,2021
21,You Broke Me First.,Tate McRae,2021
22,Streets,Doja Cat,2021
23,On Me,Lil Baby,2021
24,My Ex's Best Friend,Machine Gun Kelly X blackbear,2021
25,Good Time,Niko Moon,2021
26,Throat Baby (Go Baby),BRS Kash,2021
27,Holy,Justin Bieber Featuring Chance The Rapper,2021
28,Best Friend,Saweetie Featuring Doja Cat,2021
29,Willow,Taylor Swift,2021
30,Lonely,Justin Bieber & benny blanco,2021
31,Bang!,AJR,2021
32,No More Parties,Coi Leray Featuring Lil Durk,2021
33,Anyone,Justin Bieber,2021
34,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,2021
35,Just The Way,Parmalee x Blanco Brown,2021
36,Put Your Records On,Ritt Momney,2021
37,Down To One,Luke Bryan,2021
38,Without You,The Kid LAROI,2021
39,Laugh Now Cry Later,Drake Featuring Lil Durk,2021
40,Starting Over,Chris Stapleton,2021
41,Body,Megan Thee Stallion,2021
42,Cry Baby,Megan Thee Stallion Featuring DaBaby,2021
43,Time Today,Moneybagg Yo,2021
44,What's Your Country Song,Thomas Rhett,2021
45,Damage,H.E.R.,2021
46,Beers And Sunshine,Darius Rucker,2021
47,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,2021
48,The Good Ones,Gabby Barrett,2021
49,We're Good,Dua Lipa,2021
50,Dynamite,BTS,2021
51,Buss It,Erica Banks,2021
52,Wasted On You,Morgan Wallen,2021
53,Clouds,NF,2021
54,Telepatia,Kali Uchis,2021
55,Monsters,All Time Low Featuring Demi Lovato & blackbear,2021
56,Goosebumps,Travis Scott & HVME,2021
57,Golden,Harry Styles,2021
58,La Noche de Anoche,Bad Bunny & Rosalia,2021
59,My Head And My Heart,Ava Max,2021
60,Long Live,Florida Georgia Line,2021
61,Test Drive,Ariana Grande,2021
62,Astronaut In The Ocean,Masked Wolf,2021
63,Heartbreak Anniversary,Giveon,2021
64,Sand In My Boots,Morgan Wallen,2021
65,Heat Waves,Glass Animals,2021
66,Lady,Brett Young,2021
67,Hit Bout It,Lil Yachty Featuring Kodak Black,2021
68,Forever After All,Luke Combs,2021
69,Hole In The Bottle,Kelsea Ballerini,2021
70,Tyler Herro,Jack Harlow,2021
71,Girl Like Me,Black Eyed Peas X Shakira,2021
72,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,2021
73,Hell Of A View,Eric Church,2021
74,Lifestyle,Jason Derulo Featuring Adam Levine,2021
75,Momma's House,Dustin Lynch,2021
76,Masterpiece,DaBaby,2021
77,Somebody Like That,Tenille Arts,2021
78,Opp Stoppa,YBN Nahmir Featuring 21 Savage,2021
79,Neighbors,Pooh Shiesty Featuring BIG30,2021
80,Somebody's Problem,Morgan Wallen,2021
81,You Got It,VEDO,2021
82,Bandido,Myke Towers & Juhn,2021
83,Moonwalking In Calabasas,DDG,2021
84,Drankin N Smokin,Future & Lil Uzi Vert,2021
85,One Too Many,Keith Urban Duet With P!nk,2021
86,Still Trappin',Lil Durk & King Von,2021
87,Quicksand,Morray,2021
88,Chicken Tendies,Clinton Kane,2021
89,Pick Up Your Feelings,Jazmine Sullivan,2021
90,ZaZa,6ix9ine,2021
91,Almost Maybes,Jordan Davis,2021
92,Made For You,Jake Owen,2021
93,Glad You Exist,Dan + Shay,2021
94,Afterglow,Ed Sheeran,2021
95,Cover Me Up,Morgan Wallen,2021
96,The Business,Tiesto,2021
97,Hello,Pop Smoke Featuring A Boogie Wit da Hoodie,2021
98,Monster,Shawn Mendes & Justin Bieber,2021
99,Track Star,Mooski,2021
100,Like I Want You,Giveon,2021
1,The Box,Roddy Ricch,2020
2,Life Is Good,Future Featuring Drake,2020
3,Circles,Post Malone,2020
4,ON,BTS,2020
5,Don't Start Now,Dua Lipa,2020
6,Roxanne,Arizona Zervas,2020
7,Dance Monkey,Tones And I,2020
8,Blinding Lights,The Weeknd,2020
9,Memories,Maroon 5,2020
10,Someone You Loved,Lewis Capaldi,2020
11,Intentions,Justin Bieber Featuring Quavo,2020
12,Everything I Wanted,Billie Eilish,2020
13,Heartless,The Weeknd,2020
14,Hot Girl Bummer,blackbear,2020
15,Adore You,Harry Styles,2020
16,"10,000 Hours",Dan + Shay & Justin Bieber,2020
17,Ballin',Mustard & Roddy Ricch,2020
18,BOP,DaBaby,2020
19,The Bones,Maren Morris,2020
20,After Hours,The Weeknd,2020
21,Lose You To Love Me,Selena Gomez,2020
22,My Oh My,Camila Cabello Featuring DaBaby,2020
23,Yummy,Justin Bieber,2020
24,Woah,Lil Baby,2020
25,High Fashion,Roddy Ricch Featuring Mustard,2020
26,You Should Be Sad,Halsey,2020
27,Good As Hell,Lizzo,2020
28,Lil Top,YoungBoy Never Broke Again,2020
29,Falling,Trevor Daniel,2020
30,Dior,Pop Smoke,2020
31,No Guidance,Chris Brown Featuring Drake,2020
